ID,Synopsis,Title,MPAARating,Year,ViewerRating
The lovely performances from the recurring cast hold more poignant

resonance and significance than they have in the past, because by

this time a generous amount of time has been spent developing them

and their plight. Andy Serkis, with the help of the photorealistic

CGI used to mimic his movements, is once again an unforgettably haunting

and oddly endearing presence as Gollum, and Ian McKellen (2003's ""X2"")

reclaims the alternating warmth and regal command of Gandalf after

being pushed to the wayside in ""The Two Towers."" Finally separated

from each other and, thus, gaining an identity of their own are hobbit

cousins Merry and Pippin, who before were basically interchangeable

both physically and in their personalities. Billy Boyd (2003's ""Master

and Commander: The Far Side of the World"") is particularly superb

as the frightened Pippin, who is put under the watchful eye of the

selfish Steward of Gondor, Denethor (John Noble), and in one incendiary

scene is forced to sing as his comrades set off into battle. 

 

The undoubted standouts of ""The Return of the King,"" however, are

Elijah Wood (1999's ""Black and White"") and Sean Astin, as Frodo and

Sam. It is through their heartfelt bond that exposes the true center

of ""The Lord of the Rings"" trilogy, which is that of a love story,

non-sexual in nature, between two best friends who come close to losing

each other and must fight to prevail. Astin is simply heartbreaking

and worthy of awards notices; his Sam started off in the trilogy as

something of a sidekick, but has grown to be the film's real hero.

The frustration and fear he feels in losing Frodo to the power of

the ring is intimately felt, as is the strength he finds in himself to carry on. 

 

The final twenty minutes of ""The Lord of the Rings: The Return of

the King"" may seem extraneous to some viewers. Indeed, one highly

emotional scene is followed by another highly emotional scene, each

one gratifying and lovely. They consistently appear to be the actual

ending until the movie proceeds further , tying up loose ends and

pressing forward as much as four years into the future. However, save

for the real last scene, which could have probably been discarded

without any dire effect, this elongated epilogue is necessary. It

exposes the trilogy to, first and foremost, be about the loss of innocence,

and the difficulty in returning to one's old life after it is stripped

of them. This is a heavy, thought-provoking theme, to be sure, and

it proves that what director Peter Jackson has done with ""The Lord

of the Rings"" encompasses anything ever attempted before in the fantasy genre. 

 

No matter how monstrously big, fantastical, and special effects-heavy

it becomes, then, what separates it from most other motion pictures

of its type is that it never loses sight of its humanity. ""The Lord

of the Rings: The Return of the King"" is a triumph of cinematic craft,

energy, and originality, and on more than a few occasions it borders

on downright brilliant.

","Lord of the Rings: The Return of the King, The",PG-13,2003,3.5

558,"

 Some films are excellent from the start, and it is a matter of trying to see

if it can hold up to the tremendous task of copying the human spirit in all

its glory.  Despite the reviews, which claimed a very poor accent by Nick

Nolte's character, this film is really as strong and beautiful example of

what the art form can really do, but often does not

because too many producers are in it for the money, too much so, rather than

celebrate the beauty of the human spirit, in its many forms. 

 A young man, is found to have a debilitating disease ( ALD/MYELEN ) of the

brain, which eventually eats up the young person's body, one inch  at a

time. And at the time it was inconceivable that anyone would really want to

do anything about it, specially the medical establishment.  The Agostos, do

not take that lightly, and try anything, with a few hints and help from a

doctor who happens to be a bit of a skeptic of his own

colleagues, and the parents battle does not end, until there is something

which seems to work, to stop the terrible disease from continue on its

destructive path.  And after fighting the medical establishment, including a

few nurses who don't give a damn, and do not think the young man will ever

make it, they finally find, amidst many studies, and papers, and information

a few things which might help the child.  And they proceed to try these

things, until something works.  The first one being the most critical, the

build up of fatty acids, which destroys many nerve cells. 

 Eventually they find someone who will co-operate, and a stodgy old foggie

who is patient enough to get the necessary syrup, which they believe will

help.  And an Italian company decides it is worth  sending it around.  After

this effort, the parents have now to gain over the association which only

believes in the pain and the suffering ( I have seen the ADA do the same for

their menders ) in order to get more attention by the medical establishment,

who up until now have not been too helpful, with the exception of the good

Greek doctor, who is afraid to commit to a therapy, but does give

suggestions as to how it should be applied, and eventually defends the

family who has done such incredible research, and accomplished what many

medical teams could not.

The Agostos, have managed to get their closest friends, the wife's sister

 calls herself a test rat ) and a neighbour whose son is also just acquired

the disease, a genetic disorder carried by the mother. 

 At the meeting of the sad feelings society, one of the mothers starts the

revolution which the Agostos need, which is their involvement in publicizing

the success of the radical medicines, with ample proof that it is working. 

 The young man Lorenzo is still alive today, and the nerve cells are

rebuilding very slowly. 

 George Miller has written this film, in a style that is similar to at least

one of his efforts, THE ROAD WARRIOR.  The film oversees several years in

the process, and the chapter format seems to work very well here.  In bits

and pieces that together bring the film to a triumphant conclusion, though

the battle is not won as yet, but could at any time. 

 Susan Sarandon, as the wife is superb, and worthy of her nomination for an

Oscar.  While Nick Nolte is also very good, his style is  very nice, though

at times a bit difficult to understand, but then, so are many foreigners,

and so what?. 

 Beautifully directed, and lovingly treated, this film is a must see for many

viewers. 

",Lorenzos Oil,PG-13,1993,3.5

559,"

""Closer,"" directed with a surgical workmanlike quality by Mike Nichols

(2000's ""What Planet Are You From?""), is a motion picture of starts

and stops„not involving the pacing, which is slow but always absorbing,

but within the horribly dysfunctional relationships between its four

characters. Supporting roles are defunct, the film taking place in

a self-contained bubble in which other people live, but, for all intents

and purposes, do not exist outside of being window dressing. What

is left are these four souls„obituary writer Dan (Jude Law), young

stripper Alice (Natalie Portman), photographer Anna (Julia Roberts),

and dermatologist Larry (Clive Owen)„who seemingly choose destruction

over happiness, meeting cute in sequences that would be right at home
